municipality,year,sex,age_group,population,education_level,unemployment_rate,employment_rate
Göteborg,2018,Female,16-19,11777,Medium,13.9,84.2
Göteborg,2018,Female,20-24,11831,High,7.4,88.6
Göteborg,2018,Male,16-19,11924,Medium,9.6,82.5
Göteborg,2018,Male,20-24,11954,Medium,14.3,78.3
Göteborg,2019,Female,16-19,11856,Medium,12.3,81.1
Göteborg,2019,Female,20-24,12049,Low,17.2,78.6
Göteborg,2019,Male,16-19,12112,Low,18.8,77.4
Göteborg,2019,Male,20-24,12081,High,8,89.8
Göteborg,2020,Female,16-19,12044,Medium,15.8,76.3
Göteborg,2020,Female,20-24,11992,Medium,7.3,90.4
Göteborg,2020,Male,16-19,12043,Medium,8.3,85.8
Göteborg,2020,Male,20-24,12010,Medium,11.5,84
Göteborg,2021,Female,16-19,12014,Low,18.7,75.7
Göteborg,2021,Female,20-24,11911,Medium,14.4,80.7
Göteborg,2021,Male,16-19,12207,Medium,19.2,76
Göteborg,2021,Male,20-24,11957,Low,19.1,73.5
Göteborg,2022,Female,16-19,12094,Medium,14,80.9
Göteborg,2022,Female,20-24,12169,Low,20.4,76.5
Göteborg,2022,Male,16-19,12037,Low,19.2,76.4
Göteborg,2022,Male,20-24,11870,Low,13.4,81.1
Göteborg,2023,Female,16-19,11978,Medium,9.2,88.8
Göteborg,2023,Female,20-24,11938,High,7.7,84.3
Göteborg,2023,Male,16-19,12083,Low,16.3,77.6
Göteborg,2023,Male,20-24,12011,High,8.9,86.1
Helsingborg,2018,Female,16-19,1520,High,13.9,80.5
Helsingborg,2018,Female,20-24,1448,Low,20.3,76.3
Helsingborg,2018,Male,16-19,1507,Medium,7.6,86.7
Helsingborg,2018,Male,20-24,1436,Low,18,80.3
Helsingborg,2019,Female,16-19,1399,Medium,14.9,83.2
Helsingborg,2019,Female,20-24,1498,Low,18,75.3
Helsingborg,2019,Male,16-19,1509,Low,19.1,74.6
Helsingborg,2019,Male,20-24,1513,Low,20,73.1
