product,region,channel,market_tier,date,units,price,revenue,year,month,quarter,year_month,asp
Product A,North,Retail,A,2022-01-01,1252,48.2018272706773,60348.687742888,2022,1,1,2022-01,48.20182727067732
Product A,North,Retail,A,2022-02-01,1364,50.3399833303411,68663.7372625852,2022,2,1,2022-02,50.339983330341056
Product A,North,Retail,A,2022-03-01,2139,50.2134020347148,107406.466952255,2022,3,1,2022-03,50.21340203471482
Product A,North,Retail,A,2022-04-01,1701,48.3184654137585,82189.7096688033,2022,4,2,2022-04,48.31846541375856
Product A,North,Retail,A,2022-05-01,1731,52.2251637128647,90401.7583869689,2022,5,2,2022-05,52.225163712864756
Product A,North,Retail,A,2022-06-01,2581,50.6294628197793,130674.64353785,2022,6,2,2022-06,50.62946281977916
Product A,North,Retail,A,2022-07-01,1645,47.8242258576211,78670.8515357866,2022,7,3,2022-07,47.82422585762103
Product A,North,Retail,A,2022-08-01,1072,48.4045913803857,51889.7219597735,2022,8,3,2022-08,48.40459138038573
Product A,North,Retail,A,2022-09-01,1242,50.8386906771921,63141.6538210725,2022,9,3,2022-09,50.83869067719203
Product A,North,Retail,A,2022-10-01,1456,52.0336343848612,75760.9716643579,2022,10,4,2022-10,52.033634384861195
Product A,North,Retail,A,2022-11-01,2216,51.5790935815312,114299.271376673,2022,11,4,2022-11,51.57909358153114
Product A,North,Retail,A,2022-12-01,1791,49.7123721987009,89034.8586078733,2022,12,4,2022-12,49.7123721987009
Product A,North,Retail,A,2023-01-01,1650,48.3060070720967,79704.9116689595,2023,1,1,2023-01,48.30600707209666
Product A,North,Retail,A,2023-02-01,1539,48.3288650831673,74378.1233629945,2023,2,1,2023-02,48.32886508316732
Product A,North,Retail,A,2023-03-01,1306,49.8947293497622,65162.5165307894,2023,3,1,2023-03,49.89472934976217
Product A,North,Retail,A,2023-04-01,2706,49.4793134066276,133891.022078334,2023,4,2,2023-04,49.4793134066275
Product A,North,Retail,A,2023-05-01,1966,51.4745982980821,101199.060254029,2023,5,2,2023-05,51.474598298081894
Product A,North,Retail,A,2023-06-01,1065,51.3491854688618,54686.8825243379,2023,6,2,2023-06,51.34918546886188
Product A,North,Retail,A,2023-07-01,1810,49.4958247663453,89587.442827085,2023,7,3,2023-07,49.49582476634531
Product A,North,Retail,A,2023-08-01,1353,50.6509839743376,68530.7813172788,2023,8,3,2023-08,50.65098397433762
Product A,North,Retail,A,2023-09-01,1170,49.5633455726784,57989.1143200337,2023,9,3,2023-09,49.56334557267838
Product A,North,Retail,A,2023-10-01,1596,49.3269537528977,78725.8181896247,2023,10,4,2023-10,49.32695375289768
Product A,North,Retail,A,2023-11-01,1308,50.6042744137812,66190.3909332258,2023,11,4,2023-11,50.6042744137812
Product A,North,Retail,A,2023-12-01,1412,52.2797901614103,73819.0637079114,2023,12,4,2023-12,52.27979016141034
Product A,North,Retail,A,2024-01-01,1322,49.8803626990411,65941.8394881324,2024,1,1,2024-01,49.88036269904116
Product A,North,Retail,A,2024-02-01,1016,50.6023188540712,51411.9559557363,2024,2,1,2024-02,50.602318854071164
Product A,North,Retail,A,2024-03-01,1916,48.9461204351392,93780.7667537266,2024,3,1,2024-03,48.94612043513914
Product A,North,Retail,A,2024-04-01,1862,49.5378386112861,92239.4554942148,2024,4,2,2024-04,49.53783861128614
Product A,North,Retail,A,2024-05-01,1352,49.7243859304581,67227.3697779793,2024,5,2,2024-05,49.72438593045806
Product A,North,Retail,A,2024-06-01,2465,48.9176684489939,120582.05272677,2024,6,2,2024-06,48.917668448993915
Product A,North,Retail,A,2024-07-01,1748,52.3506947758142,91509.0144681232,2024,7,3,2024-07,52.35069477581419
Product A,North,Retail,A,2024-08-01,1464,51.9129941961728,76000.623503197,2024,8,3,2024-08,51.91299419617281
Product A,North,Retail,A,2024-09-01,1977,51.5442532044835,101902.988585264,2024,9,3,2024-09,51.54425320448356
Product A,North,Retail,A,2024-10-01,2171,51.0411322698928,110810.298157937,2024,10,4,2024-10,51.04113226989267
Product A,North,Retail,A,2024-11-01,2146,48.4010080143344,103868.563198762,2024,11,4,2024-11,48.40100801433458
Product A,North,Retail,A,2024-12-01,2082,47.8198785486165,99560.9871382196,2024,12,4,2024-12,47.81987854861652
Product B,North,Retail,A,2022-01-01,1240,38.4263240434229,47648.6418138444,2022,1,1,2022-01,38.4263240434229
Product B,North,Retail,A,2022-02-01,1067,41.3927372731268,44166.0506704263,2022,2,1,2022-02,41.392737273126805
Product B,North,Retail,A,2022-03-01,1006,39.4377208342776,39674.3471592832,2022,3,1,2022-03,39.437720834277535
Product B,North,Retail,A,2022-04-01,1139,41.1400023801252,46858.4627109626,2022,4,2,2022-04,41.140002380125196
Product B,North,Retail,A,2022-05-01,1057,41.6321553774178,44005.1882339306,2022,5,2,2022-05,41.63215537741779
Product B,North,Retail,A,2022-06-01,1197,40.5336988717318,48518.8375494629,2022,6,2,2022-06,40.533698871731744
Product B,North,Retail,A,2022-07-01,801,40.4604651536793,32408.8325880971,2022,7,3,2022-07,40.46046515367927
Product B,North,Retail,A,2022-08-01,1897,38.2701596161351,72598.4927918082,2022,8,3,2022-08,38.270159616135054
Product B,North,Retail,A,2022-09-01,1496,38.9659755295143,58293.0993921533,2022,9,3,2022-09,38.96597552951424
Product B,North,Retail,A,2022-10-01,922,39.6431128112599,36550.9500119817,2022,10,4,2022-10,39.64311281125998
Product B,North,Retail,A,2022-11-01,1107,41.2447000481188,45657.8829532675,2022,11,4,2022-11,41.24470004811879
Product B,North,Retail,A,2022-12-01,1092,39.5165649037808,43152.0888749287,2022,12,4,2022-12,39.51656490378086
Product B,North,Retail,A,2023-01-01,1360,39.7878009220585,54111.4092539996,2023,1,1,2023-01,39.78780092205853
Product B,North,Retail,A,2023-02-01,1100,40.2820311300457,44310.2342430502,2023,2,1,2023-02,40.28203113004564
Product B,North,Retail,A,2023-03-01,1199,38.5248494772241,46191.2945231916,2023,3,1,2023-03,38.52484947722402
Product B,North,Retail,A,2023-04-01,1289,38.0520734740421,49049.1227080403,2023,4,2,2023-04,38.052073474042125
Product B,North,Retail,A,2023-05-01,1288,40.7106789099053,52435.354435958,2023,5,2,2023-05,40.710678909905276
Product B,North,Retail,A,2023-06-01,1839,41.3406224437058,76025.404673975,2023,6,2,2023-06,41.34062244370582
Product B,North,Retail,A,2023-07-01,1076,41.7450539246202,44917.6780228913,2023,7,3,2023-07,41.745053924620166
Product B,North,Retail,A,2023-08-01,1669,38.2338024554774,63812.2162981918,2023,8,3,2023-08,38.23380245547741
Product B,North,Retail,A,2023-09-01,778,40.6721031768247,31642.8962715697,2023,9,3,2023-09,40.67210317682481
Product B,North,Retail,A,2023-10-01,1463,39.5434261625633,57852.0324758301,2023,10,4,2023-10,39.54342616256329
Product B,North,Retail,A,2023-11-01,1307,40.3045161757618,52678.0026417207,2023,11,4,2023-11,40.30451617576182
Product B,North,Retail,A,2023-12-01,1342,38.5552567113191,51741.1545065902,2023,12,4,2023-12,38.555256711319075
Product B,North,Retail,A,2024-01-01,1274,39.023335413076,49715.7293162588,2024,1,1,2024-01,39.02333541307598
Product B,North,Retail,A,2024-02-01,1025,39.2522435365245,40233.5496249376,2024,2,1,2024-02,39.25224353652449
Product B,North,Retail,A,2024-03-01,1072,40.8604712272063,43802.4251555651,2024,3,1,2024-03,40.86047122720625
Product B,North,Retail,A,2024-04-01,1042,38.7547181155533,40382.4162764065,2024,4,2,2024-04,38.75471811555326
Product B,North,Retail,A,2024-05-01,1031,38.5687251593918,39764.3556393329,2024,5,2,2024-05,38.568725159391754
Product B,North,Retail,A,2024-06-01,1458,40.2964464658871,58752.2189472634,2024,6,2,2024-06,40.2964464658871
Product B,North,Retail,A,2024-07-01,1318,38.1966010909528,50343.1202378757,2024,7,3,2024-07,38.19660109095273
Product B,North,Retail,A,2024-08-01,1198,39.7400306062773,47608.5566663202,2024,8,3,2024-08,39.740030606277294
Product B,North,Retail,A,2024-09-01,1493,39.9308406459168,59616.7450843537,2024,9,3,2024-09,39.930840645916746
Product B,North,Retail,A,2024-10-01,2182,39.8592676026747,86972.9219090361,2024,10,4,2024-10,39.859267602674656
Product B,North,Retail,A,2024-11-01,1160,39.9448077483103,46335.9769880399,2024,11,4,2024-11,39.94480774831026
Product B,North,Retail,A,2024-12-01,738,40.9503395399079,30221.350580452,2024,12,4,2024-12,40.95033953990786
Product C,North,Retail,A,2022-01-01,1080,36.7184520913288,39655.9282586351,2022,1,1,2022-01,36.71845209132879
Product C,North,Retail,A,2022-02-01,706,36.1914292555302,25551.1490544043,2022,2,1,2022-02,36.191429255530174
Product C,North,Retail,A,2022-03-01,711,33.6417421273654,23919.2786525568,2022,3,1,2022-03,33.641742127365404
Product C,North,Retail,A,2022-04-01,1260,36.2649765664246,45693.870473695,2022,4,2,2022-04,36.26497656642461
Product C,North,Retail,A,2022-05-01,910,35.2374795072246,32066.1063515744,2022,5,2,2022-05,35.23747950722461
Product C,North,Retail,A,2022-06-01,723,35.6414762196364,25768.7873067971,2022,6,2,2022-06,35.64147621963638
Product C,North,Retail,A,2022-07-01,895,36.0136191756465,32232.1891622036,2022,7,3,2022-07,36.013619175646475
Product C,North,Retail,A,2022-08-01,829,34.6588393662823,28732.1778346481,2022,8,3,2022-08,34.658839366282386
Product C,North,Retail,A,2022-09-01,862,36.2364701629849,31235.837280493,2022,9,3,2022-09,36.23647016298492
Product C,North,Retail,A,2022-10-01,1045,33.9136193635641,35439.7322349244,2022,10,4,2022-10,33.91361936356402
Product C,North,Retail,A,2022-11-01,868,34.9850257157814,30367.0023212982,2022,11,4,2022-11,34.98502571578134
Product C,North,Retail,A,2022-12-01,1122,33.6701552222949,37777.9141594148,2022,12,4,2022-12,33.67015522229483
Product C,North,Retail,A,2023-01-01,824,34.0503215717617,28057.4649751317,2023,1,1,2023-01,34.05032157176177
Product C,North,Retail,A,2023-02-01,949,36.4192426376976,34561.861263175,2023,2,1,2023-02,36.41924263769758
Product C,North,Retail,A,2023-03-01,1152,34.9082120561507,40214.2602886856,2023,3,1,2023-03,34.90821205615069
Product C,North,Retail,A,2023-04-01,1126,35.1416687272722,39569.5189869085,2023,4,2,2023-04,35.141668727272204
Product C,North,Retail,A,2023-05-01,934,36.6582836164162,34238.8368977327,2023,5,2,2023-05,36.65828361641616
Product C,North,Retail,A,2023-06-01,1354,36.6535015752306,49628.8411328623,2023,6,2,2023-06,36.65350157523065
Product C,North,Retail,A,2023-07-01,1136,35.6487581436522,40496.9892511889,2023,7,3,2023-07,35.648758143652195
Product C,North,Retail,A,2023-08-01,1019,35.979857036029,36663.4743197135,2023,8,3,2023-08,35.97985703602895
Product C,North,Retail,A,2023-09-01,946,33.3215862610377,31522.2206029417,2023,9,3,2023-09,33.32158626103774
