"product","region","channel","market_tier","date","units","price","revenue"
"Product A","North","Retail","A",2022-01-01,1252,48.2018272706773,60348.687742888
"Product A","North","Retail","A",2022-02-01,1364,50.3399833303411,68663.7372625852
"Product A","North","Retail","A",2022-03-01,2139,50.2134020347148,107406.466952255
"Product A","North","Retail","A",2022-04-01,1701,48.3184654137585,82189.7096688033
"Product A","North","Retail","A",2022-05-01,1731,52.2251637128647,90401.7583869689
"Product A","North","Retail","A",2022-06-01,2581,50.6294628197793,130674.64353785
"Product A","North","Retail","A",2022-07-01,1645,47.8242258576211,78670.8515357866
"Product A","North","Retail","A",2022-08-01,1072,48.4045913803857,51889.7219597735
"Product A","North","Retail","A",2022-09-01,1242,50.8386906771921,63141.6538210725
"Product A","North","Retail","A",2022-10-01,1456,52.0336343848612,75760.9716643579
"Product A","North","Retail","A",2022-11-01,2216,51.5790935815312,114299.271376673
"Product A","North","Retail","A",2022-12-01,1791,49.7123721987009,89034.8586078733
"Product A","North","Retail","A",2023-01-01,1650,48.3060070720967,79704.9116689595
"Product A","North","Retail","A",2023-02-01,1539,48.3288650831673,74378.1233629945
"Product A","North","Retail","A",2023-03-01,1306,49.8947293497622,65162.5165307894
"Product A","North","Retail","A",2023-04-01,2706,49.4793134066276,133891.022078334
"Product A","North","Retail","A",2023-05-01,1966,51.4745982980821,101199.060254029
"Product A","North","Retail","A",2023-06-01,1065,51.3491854688618,54686.8825243379
"Product A","North","Retail","A",2023-07-01,1810,49.4958247663453,89587.442827085
"Product A","North","Retail","A",2023-08-01,1353,50.6509839743376,68530.7813172788
"Product A","North","Retail","A",2023-09-01,1170,49.5633455726784,57989.1143200337
"Product A","North","Retail","A",2023-10-01,1596,49.3269537528977,78725.8181896247
"Product A","North","Retail","A",2023-11-01,1308,50.6042744137812,66190.3909332258
"Product A","North","Retail","A",2023-12-01,1412,52.2797901614103,73819.0637079114
"Product A","North","Retail","A",2024-01-01,1322,49.8803626990411,65941.8394881324
"Product A","North","Retail","A",2024-02-01,1016,50.6023188540712,51411.9559557363
"Product A","North","Retail","A",2024-03-01,1916,48.9461204351392,93780.7667537266
"Product A","North","Retail","A",2024-04-01,1862,49.5378386112861,92239.4554942148
"Product A","North","Retail","A",2024-05-01,1352,49.7243859304581,67227.3697779793
"Product A","North","Retail","A",2024-06-01,2465,48.9176684489939,120582.05272677
"Product A","North","Retail","A",2024-07-01,1748,52.3506947758142,91509.0144681232
"Product A","North","Retail","A",2024-08-01,1464,51.9129941961728,76000.623503197
"Product A","North","Retail","A",2024-09-01,1977,51.5442532044835,101902.988585264
"Product A","North","Retail","A",2024-10-01,2171,51.0411322698928,110810.298157937
"Product A","North","Retail","A",2024-11-01,2146,48.4010080143344,103868.563198762
"Product A","North","Retail","A",2024-12-01,2082,47.8198785486165,99560.9871382196
"Product B","North","Retail","A",2022-01-01,1240,38.4263240434229,47648.6418138444
"Product B","North","Retail","A",2022-02-01,1067,41.3927372731268,44166.0506704263
"Product B","North","Retail","A",2022-03-01,1006,39.4377208342776,39674.3471592832
"Product B","North","Retail","A",2022-04-01,1139,41.1400023801252,46858.4627109626
"Product B","North","Retail","A",2022-05-01,1057,41.6321553774178,44005.1882339306
"Product B","North","Retail","A",2022-06-01,1197,40.5336988717318,48518.8375494629
"Product B","North","Retail","A",2022-07-01,801,40.4604651536793,32408.8325880971
"Product B","North","Retail","A",2022-08-01,1897,38.2701596161351,72598.4927918082
"Product B","North","Retail","A",2022-09-01,1496,38.9659755295143,58293.0993921533
"Product B","North","Retail","A",2022-10-01,922,39.6431128112599,36550.9500119817
"Product B","North","Retail","A",2022-11-01,1107,41.2447000481188,45657.8829532675
"Product B","North","Retail","A",2022-12-01,1092,39.5165649037808,43152.0888749287
"Product B","North","Retail","A",2023-01-01,1360,39.7878009220585,54111.4092539996
"Product B","North","Retail","A",2023-02-01,1100,40.2820311300457,44310.2342430502
"Product B","North","Retail","A",2023-03-01,1199,38.5248494772241,46191.2945231916
"Product B","North","Retail","A",2023-04-01,1289,38.0520734740421,49049.1227080403
"Product B","North","Retail","A",2023-05-01,1288,40.7106789099053,52435.354435958
"Product B","North","Retail","A",2023-06-01,1839,41.3406224437058,76025.404673975
"Product B","North","Retail","A",2023-07-01,1076,41.7450539246202,44917.6780228913
"Product B","North","Retail","A",2023-08-01,1669,38.2338024554774,63812.2162981918
"Product B","North","Retail","A",2023-09-01,778,40.6721031768247,31642.8962715697
"Product B","North","Retail","A",2023-10-01,1463,39.5434261625633,57852.0324758301
"Product B","North","Retail","A",2023-11-01,1307,40.3045161757618,52678.0026417207
"Product B","North","Retail","A",2023-12-01,1342,38.5552567113191,51741.1545065902
"Product B","North","Retail","A",2024-01-01,1274,39.023335413076,49715.7293162588
"Product B","North","Retail","A",2024-02-01,1025,39.2522435365245,40233.5496249376
"Product B","North","Retail","A",2024-03-01,1072,40.8604712272063,43802.4251555651
"Product B","North","Retail","A",2024-04-01,1042,38.7547181155533,40382.4162764065
"Product B","North","Retail","A",2024-05-01,1031,38.5687251593918,39764.3556393329
"Product B","North","Retail","A",2024-06-01,1458,40.2964464658871,58752.2189472634
"Product B","North","Retail","A",2024-07-01,1318,38.1966010909528,50343.1202378757
"Product B","North","Retail","A",2024-08-01,1198,39.7400306062773,47608.5566663202
"Product B","North","Retail","A",2024-09-01,1493,39.9308406459168,59616.7450843537
"Product B","North","Retail","A",2024-10-01,2182,39.8592676026747,86972.9219090361
"Product B","North","Retail","A",2024-11-01,1160,39.9448077483103,46335.9769880399
"Product B","North","Retail","A",2024-12-01,738,40.9503395399079,30221.350580452
"Product C","North","Retail","A",2022-01-01,1080,36.7184520913288,39655.9282586351
"Product C","North","Retail","A",2022-02-01,706,36.1914292555302,25551.1490544043
"Product C","North","Retail","A",2022-03-01,711,33.6417421273654,23919.2786525568
